datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime.1,datetime
2019-10-05,2019-10-05,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,124.0,ug/m3,automatico,2019,10,5,15,,2019-10-05 15:00:00
2019-09-19,2019-09-19,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,123.0,ug/m3,automatico,2019,9,19,14,,2019-09-19 14:00:00
2019-09-24,2019-09-24,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,123.0,ug/m3,automatico,2019,9,24,16,,2019-09-24 16:00:00
2019-09-27,2019-09-27,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,123.0,ug/m3,automatico,2019,9,27,23,,2019-09-27 23:00:00
2019-09-30,2019-09-30,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,123.0,ug/m3,automatico,2019,9,30,14,,2019-09-30 14:00:00
2019-09-19,2019-09-19,22:00:00,UM Alto Alegre - Móvel,CE03,MP10,122.0,ug/m3,automatico,2019,9,19,22,,2019-09-19 22:00:00
2019-09-21,2019-09-21,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,122.0,ug/m3,automatico,2019,9,21,17,,2019-09-21 17:00:00
2019-09-16,2019-09-16,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,121.0,ug/m3,automatico,2019,9,16,17,,2019-09-16 17:00:00
2019-09-27,2019-09-27,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,121.0,ug/m3,automatico,2019,9,27,17,,2019-09-27 17:00:00
2019-09-18,2019-09-18,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,120.0,ug/m3,automatico,2019,9,18,14,,2019-09-18 14:00:00
2019-10-01,2019-10-01,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,120.0,ug/m3,automatico,2019,10,1,14,,2019-10-01 14:00:00
2019-09-15,2019-09-15,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,119.0,ug/m3,automatico,2019,9,15,15,,2019-09-15 15:00:00
2019-09-27,2019-09-27,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,119.0,ug/m3,automatico,2019,9,27,16,,2019-09-27 16:00:00
2019-09-29,2019-09-29,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,119.0,ug/m3,automatico,2019,9,29,14,,2019-09-29 14:00:00
2019-09-30,2019-09-30,12:00:00,UM Alto Alegre - Móvel,CE03,MP10,119.0,ug/m3,automatico,2019,9,30,12,,2019-09-30 12:00:00
2019-09-19,2019-09-19,21:00:00,UM Alto Alegre - Móvel,CE03,MP10,118.0,ug/m3,automatico,2019,9,19,21,,2019-09-19 21:00:00
2019-09-24,2019-09-24,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,118.0,ug/m3,automatico,2019,9,24,00,,2019-09-24 00:00:00
2019-09-28,2019-09-28,03:00:00,UM Alto Alegre - Móvel,CE03,MP10,118.0,ug/m3,automatico,2019,9,28,03,,2019-09-28 03:00:00
2019-10-05,2019-10-05,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,117.0,ug/m3,automatico,2019,10,5,00,,2019-10-05 00:00:00
2019-10-05,2019-10-05,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,117.0,ug/m3,automatico,2019,10,5,13,,2019-10-05 13:00:00
2019-10-06,2019-10-06,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,117.0,ug/m3,automatico,2019,10,6,13,,2019-10-06 13:00:00
2019-09-19,2019-09-19,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,116.0,ug/m3,automatico,2019,9,19,23,,2019-09-19 23:00:00
