datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime.1,datetime
2019-05-06,2019-05-06,17:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,44.0,ug/m3,automatico,2019,5,6,17,2019-05-06 17:00:00,2019-05-06 17:00:00
2019-04-18,2019-04-18,17:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,43.0,ug/m3,automatico,2019,4,18,17,2019-04-18 17:00:00,2019-04-18 17:00:00
2019-04-22,2019-04-22,17:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,43.0,ug/m3,automatico,2019,4,22,17,2019-04-22 17:00:00,2019-04-22 17:00:00
2019-06-29,2019-06-29,11:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,43.0,ug/m3,automatico,2019,6,29,11,2019-06-29 11:00:00,2019-06-29 11:00:00
2019-04-16,2019-04-16,07:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,42.0,ug/m3,automatico,2019,4,16,07,2019-04-16 07:00:00,2019-04-16 07:00:00
2019-04-18,2019-04-18,10:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,42.0,ug/m3,automatico,2019,4,18,10,2019-04-18 10:00:00,2019-04-18 10:00:00
2019-04-23,2019-04-23,06:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,42.0,ug/m3,automatico,2019,4,23,06,2019-04-23 06:00:00,2019-04-23 06:00:00
2019-05-02,2019-05-02,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,42.0,ug/m3,automatico,2019,5,2,21,2019-05-02 21:00:00,2019-05-02 21:00:00
2019-04-19,2019-04-19,03:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,41.0,ug/m3,automatico,2019,4,19,03,2019-04-19 03:00:00,2019-04-19 03:00:00
2019-04-20,2019-04-20,03:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,41.0,ug/m3,automatico,2019,4,20,03,2019-04-20 03:00:00,2019-04-20 03:00:00
2019-04-21,2019-04-21,07:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,41.0,ug/m3,automatico,2019,4,21,07,2019-04-21 07:00:00,2019-04-21 07:00:00
2019-04-23,2019-04-23,08:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,41.0,ug/m3,automatico,2019,4,23,08,2019-04-23 08:00:00,2019-04-23 08:00:00
2019-04-20,2019-04-20,10:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,40.0,ug/m3,automatico,2019,4,20,10,2019-04-20 10:00:00,2019-04-20 10:00:00
2019-04-23,2019-04-23,07:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,40.0,ug/m3,automatico,2019,4,23,07,2019-04-23 07:00:00,2019-04-23 07:00:00
2019-04-16,2019-04-16,20:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,39.0,ug/m3,automatico,2019,4,16,20,2019-04-16 20:00:00,2019-04-16 20:00:00
2019-04-17,2019-04-17,17:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,39.0,ug/m3,automatico,2019,4,17,17,2019-04-17 17:00:00,2019-04-17 17:00:00
2019-04-22,2019-04-22,18:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,39.0,ug/m3,automatico,2019,4,22,18,2019-04-22 18:00:00,2019-04-22 18:00:00
2019-05-03,2019-05-03,06:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,39.0,ug/m3,automatico,2019,5,3,06,2019-05-03 06:00:00,2019-05-03 06:00:00
2019-05-04,2019-05-04,04:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,39.0,ug/m3,automatico,2019,5,4,04,2019-05-04 04:00:00,2019-05-04 04:00:00
2019-05-10,2019-05-10,20:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,39.0,ug/m3,automatico,2019,5,10,20,2019-05-10 20:00:00,2019-05-10 20:00:00
2019-07-18,2019-07-18,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,39.0,ug/m3,automatico,2019,7,18,21,2019-07-18 21:00:00,2019-07-18 21:00:00
2019-04-17,2019-04-17,23:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,4,17,23,2019-04-17 23:00:00,2019-04-17 23:00:00
2019-04-18,2019-04-18,22:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,4,18,22,2019-04-18 22:00:00,2019-04-18 22:00:00
2019-04-20,2019-04-20,09:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,4,20,09,2019-04-20 09:00:00,2019-04-20 09:00:00
2019-04-21,2019-04-21,10:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,4,21,10,2019-04-21 10:00:00,2019-04-21 10:00:00
2019-05-04,2019-05-04,07:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,5,4,07,2019-05-04 07:00:00,2019-05-04 07:00:00
2019-05-04,2019-05-04,15:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,5,4,15,2019-05-04 15:00:00,2019-05-04 15:00:00
2019-05-05,2019-05-05,11:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,5,5,11,2019-05-05 11:00:00,2019-05-05 11:00:00
2019-05-07,2019-05-07,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,5,7,00,2019-05-07 00:00:00,2019-05-07 00:00:00
2019-05-12,2019-05-12,03:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,38.0,ug/m3,automatico,2019,5,12,03,2019-05-12 03:00:00,2019-05-12 03:00:00
2019-05-02,2019-05-02,16:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,37.0,ug/m3,automatico,2019,5,2,16,2019-05-02 16:00:00,2019-05-02 16:00:00
2019-05-03,2019-05-03,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,37.0,ug/m3,automatico,2019,5,3,00,2019-05-03 00:00:00,2019-05-03 00:00:00
2019-05-04,2019-05-04,16:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,37.0,ug/m3,automatico,2019,5,4,16,2019-05-04 16:00:00,2019-05-04 16:00:00
2019-04-17,2019-04-17,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,4,17,00,2019-04-17 00:00:00,2019-04-17 00:00:00
2019-04-17,2019-04-17,16:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,4,17,16,2019-04-17 16:00:00,2019-04-17 16:00:00
2019-04-18,2019-04-18,08:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,4,18,08,2019-04-18 08:00:00,2019-04-18 08:00:00
2019-04-21,2019-04-21,08:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,4,21,08,2019-04-21 08:00:00,2019-04-21 08:00:00
2019-04-21,2019-04-21,11:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,4,21,11,2019-04-21 11:00:00,2019-04-21 11:00:00
2019-04-23,2019-04-23,04:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,4,23,04,2019-04-23 04:00:00,2019-04-23 04:00:00
2019-05-03,2019-05-03,07:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,5,3,07,2019-05-03 07:00:00,2019-05-03 07:00:00
2019-05-03,2019-05-03,12:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,5,3,12,2019-05-03 12:00:00,2019-05-03 12:00:00
2019-05-03,2019-05-03,17:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,5,3,17,2019-05-03 17:00:00,2019-05-03 17:00:00
2019-05-04,2019-05-04,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,5,4,00,2019-05-04 00:00:00,2019-05-04 00:00:00
2019-05-04,2019-05-04,01:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,5,4,01,2019-05-04 01:00:00,2019-05-04 01:00:00
2019-05-04,2019-05-04,02:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,5,4,02,2019-05-04 02:00:00,2019-05-04 02:00:00
2019-05-06,2019-05-06,23:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,36.0,ug/m3,automatico,2019,5,6,23,2019-05-06 23:00:00,2019-05-06 23:00:00
2019-04-16,2019-04-16,06:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,35.0,ug/m3,automatico,2019,4,16,06,2019-04-16 06:00:00,2019-04-16 06:00:00
2019-04-19,2019-04-19,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,35.0,ug/m3,automatico,2019,4,19,21,2019-04-19 21:00:00,2019-04-19 21:00:00
2019-05-03,2019-05-03,10:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,35.0,ug/m3,automatico,2019,5,3,10,2019-05-03 10:00:00,2019-05-03 10:00:00
2019-05-07,2019-05-07,02:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,35.0,ug/m3,automatico,2019,5,7,02,2019-05-07 02:00:00,2019-05-07 02:00:00
2019-05-12,2019-05-12,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,35.0,ug/m3,automatico,2019,5,12,00,2019-05-12 00:00:00,2019-05-12 00:00:00
2019-05-12,2019-05-12,01:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,35.0,ug/m3,automatico,2019,5,12,01,2019-05-12 01:00:00,2019-05-12 01:00:00
2019-05-12,2019-05-12,04:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,35.0,ug/m3,automatico,2019,5,12,04,2019-05-12 04:00:00,2019-05-12 04:00:00
2019-04-17,2019-04-17,09:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,34.0,ug/m3,automatico,2019,4,17,09,2019-04-17 09:00:00,2019-04-17 09:00:00
