Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2016-09-05,19:00:00,CIPP,CE01,CO,561,ug/m3,automatico
2016-09-05,20:00:00,CIPP,CE01,CO,515,ug/m3,automatico
2016-09-05,21:00:00,CIPP,CE01,CO,595,ug/m3,automatico
2016-09-05,22:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-09-05,23:00:00,CIPP,CE01,CO,458,ug/m3,automatico
2016-09-06,00:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-09-06,01:00:00,CIPP,CE01,CO,515,ug/m3,automatico
2016-09-06,02:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-09-06,03:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-06,04:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-06,05:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-09-06,06:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-09-06,07:00:00,CIPP,CE01,CO,584,ug/m3,automatico
2016-09-06,08:00:00,CIPP,CE01,CO,710,ug/m3,automatico
2016-09-06,09:00:00,CIPP,CE01,CO,836,ug/m3,automatico
2016-09-06,10:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-09-06,11:00:00,CIPP,CE01,CO,458,ug/m3,automatico
2016-09-06,12:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-09-06,13:00:00,CIPP,CE01,CO,458,ug/m3,automatico
2016-09-06,14:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-09-06,15:00:00,CIPP,CE01,CO,389,ug/m3,automatico
2016-09-06,16:00:00,CIPP,CE01,CO,458,ug/m3,automatico
2016-09-06,17:00:00,CIPP,CE01,CO,687,ug/m3,automatico
2016-09-06,18:00:00,CIPP,CE01,CO,676,ug/m3,automatico
2016-09-06,19:00:00,CIPP,CE01,CO,710,ug/m3,automatico
2016-09-06,20:00:00,CIPP,CE01,CO,802,ug/m3,automatico
2016-09-06,21:00:00,CIPP,CE01,CO,676,ug/m3,automatico
2016-09-06,22:00:00,CIPP,CE01,CO,664,ug/m3,automatico
2016-09-06,23:00:00,CIPP,CE01,CO,767,ug/m3,automatico
2016-09-07,00:00:00,CIPP,CE01,CO,893,ug/m3,automatico
2016-09-07,01:00:00,CIPP,CE01,CO,950,ug/m3,automatico
2016-09-07,02:00:00,CIPP,CE01,CO,1008,ug/m3,automatico
2016-09-07,03:00:00,CIPP,CE01,CO,836,ug/m3,automatico
2016-09-07,04:00:00,CIPP,CE01,CO,790,ug/m3,automatico
2016-09-07,05:00:00,CIPP,CE01,CO,687,ug/m3,automatico
2016-09-07,06:00:00,CIPP,CE01,CO,767,ug/m3,automatico
2016-09-07,07:00:00,CIPP,CE01,CO,802,ug/m3,automatico
2016-09-07,08:00:00,CIPP,CE01,CO,744,ug/m3,automatico
2016-09-07,09:00:00,CIPP,CE01,CO,641,ug/m3,automatico
2016-09-07,10:00:00,CIPP,CE01,CO,538,ug/m3,automatico
2016-09-07,11:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-09-07,12:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-09-07,13:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-09-07,15:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-09-07,16:00:00,CIPP,CE01,CO,0,ug/m3,automatico
2016-09-07,17:00:00,CIPP,CE01,CO,0,ug/m3,automatico
2016-09-07,18:00:00,CIPP,CE01,CO,1397,ug/m3,automatico
2016-09-07,19:00:00,CIPP,CE01,CO,1488,ug/m3,automatico
2016-09-07,20:00:00,CIPP,CE01,CO,1408,ug/m3,automatico
2016-09-07,21:00:00,CIPP,CE01,CO,1328,ug/m3,automatico
2016-09-07,22:00:00,CIPP,CE01,CO,1351,ug/m3,automatico
2016-09-07,23:00:00,CIPP,CE01,CO,1351,ug/m3,automatico
2016-09-08,00:00:00,CIPP,CE01,CO,1237,ug/m3,automatico
2016-09-08,01:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-09-08,02:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2016-09-08,03:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2016-09-08,04:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-09-08,05:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2016-09-08,06:00:00,CIPP,CE01,CO,458,ug/m3,automatico
2016-09-08,07:00:00,CIPP,CE01,CO,515,ug/m3,automatico
2016-09-08,08:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-09-08,09:00:00,CIPP,CE01,CO,561,ug/m3,automatico
2016-09-08,10:00:00,CIPP,CE01,CO,481,ug/m3,automatico
2016-09-08,11:00:00,CIPP,CE01,CO,401,ug/m3,automatico
2016-09-08,12:00:00,CIPP,CE01,CO,515,ug/m3,automatico
2016-09-08,13:00:00,CIPP,CE01,CO,183,ug/m3,automatico
2016-09-08,14:00:00,CIPP,CE01,CO,286,ug/m3,automatico
2016-09-08,15:00:00,CIPP,CE01,CO,275,ug/m3,automatico
2016-09-08,18:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-09-08,19:00:00,CIPP,CE01,CO,572,ug/m3,automatico
2016-09-08,20:00:00,CIPP,CE01,CO,515,ug/m3,automatico
2016-09-08,21:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-09-08,22:00:00,CIPP,CE01,CO,355,ug/m3,automatico
2016-09-08,23:00:00,CIPP,CE01,CO,389,ug/m3,automatico
2016-09-09,00:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-09-09,01:00:00,CIPP,CE01,CO,275,ug/m3,automatico
2016-09-09,02:00:00,CIPP,CE01,CO,309,ug/m3,automatico
2016-09-09,03:00:00,CIPP,CE01,CO,344,ug/m3,automatico
2016-09-09,04:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-09-09,05:00:00,CIPP,CE01,CO,321,ug/m3,automatico
2016-09-09,06:00:00,CIPP,CE01,CO,321,ug/m3,automatico
2016-09-09,07:00:00,CIPP,CE01,CO,389,ug/m3,automatico
2016-09-09,08:00:00,CIPP,CE01,CO,481,ug/m3,automatico
2016-09-09,09:00:00,CIPP,CE01,CO,481,ug/m3,automatico
2016-09-20,13:00:00,CIPP,CE01,CO,275,ug/m3,automatico
2016-09-20,14:00:00,CIPP,CE01,CO,275,ug/m3,automatico
2016-09-20,15:00:00,CIPP,CE01,CO,275,ug/m3,automatico
2016-09-20,16:00:00,CIPP,CE01,CO,263,ug/m3,automatico
2016-09-20,17:00:00,CIPP,CE01,CO,263,ug/m3,automatico
2016-09-20,18:00:00,CIPP,CE01,CO,275,ug/m3,automatico
2016-09-20,19:00:00,CIPP,CE01,CO,229,ug/m3,automatico
2016-09-20,20:00:00,CIPP,CE01,CO,206,ug/m3,automatico
2016-09-20,21:00:00,CIPP,CE01,CO,206,ug/m3,automatico
2016-09-20,22:00:00,CIPP,CE01,CO,206,ug/m3,automatico
2016-09-20,23:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-09-21,00:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-09-21,01:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-09-21,02:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-09-21,03:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-09-21,04:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-09-21,05:00:00,CIPP,CE01,CO,195,ug/m3,automatico
2016-09-21,06:00:00,CIPP,CE01,CO,183,ug/m3,automatico
2016-09-21,07:00:00,CIPP,CE01,CO,183,ug/m3,automatico
